Latitude,Longitude,Grain yield (kg/ha@12.5%)
-7.7261,31.0987,4059.56358
-3.1920,37.0780,4050.190888
-3.3187,35.7164,4042.080368
-4.2069,35.5598,4034.437882
-3.2504,37.1158,4026.978807
-3.2221,37.1292,4002.570809
-10.5740,35.3841,3987.980828
-4.4711,35.5479,3983.324624
-3.2221,37.1320,3968.51633
-10.5712,35.3952,3967.2
-3.2475,37.1229,3959.902559
-8.8428,32.9908,3941.045079
-3.2224,37.1288,3931.642116
-9.3954,34.7714,3926.007578
-3.4468,37.4054,3920.688122
-4.4713,35.5474,3919.890208
-3.3575,36.3256,3900.795107
-3.3203,35.7168,3899.48202
-4.4720,35.5475,3885.280712
-3.7713,35.4819,3879.675539
-10.5754,35.3843,3866.517028
-3.4478,36.9143,3860.83465
-3.2489,37.1156,3855.042752
-8.2939,35.0167,3850.944504
-3.3195,35.7168,3847.224893
-3.4443,37.4032,3832.646037
-8.8411,32.9911,3826.354706
-3.4458,37.4043,3823.626089
-3.2490,37.1188,3814.421886
-3.2262,37.0469,3806.318538
-4.4515,35.5050,3793.132997
-4.4722,35.5475,3788.564408
-3.3838,36.9371,3785.780672
-3.7633,35.4864,3777.465565
-8.8386,32.9982,3773.845045
-8.8390,32.9983,3767.399148
-3.8452,35.4451,3764.592365
-4.4534,35.5076,3755.585278
-4.4705,35.5478,3752.885017
-7.6133,35.9569,3750.515748
-10.4472,36.1783,3734.364371
-8.8413,32.9912,3729.544399
-3.4096,35.5979,3723.28477
-3.2487,37.1189,3714.003464
-3.3524,36.3576,3693.006688
-9.2019,32.7356,3684.421712
-3.8452,35.4445,3677.687875
-3.2276,37.0433,3663.51106
-3.3232,35.7159,3662.798131
-4.2024,35.5631,3661.086447
-4.2083,35.5619,3655.240345
-8.2705,35.0461,3652.264574
-10.5723,35.3954,3650.526316
-3.4740,37.4211,3650.077761
-7.7619,31.1441,3644.829942
-8.2727,35.0470,3640.287254
-3.8559,35.4754,3634.14464
-4.4522,35.5053,3627.11296
-3.4452,37.4047,3621.582244
-3.2354,37.0868,3602.925087
-3.4444,37.4031,3593.040789
-3.7702,35.4867,3589.288196
-4.4691,35.5513,3583.329984
-4.4537,35.5078,3580.016671
-3.4338,35.6347,3575.290498
-8.8388,32.9982,3571.081425
-3.2507,37.1158,3566.405137
-3.3524,36.3571,3563.28632
-3.4694,37.4223,3563.260822
-7.6927,35.9816,3557.119574
-3.3817,36.3192,3548.000675
-8.3452,35.0612,3541.439169
-3.2265,37.0461,3539.371962
-8.2768,35.0457,3534.267222
-10.5699,35.3849,3532.620044
-3.2263,37.0465,3525.079279
-3.8441,35.4463,3523.285722
-7.7650,31.1449,3519.367647
-3.3576,36.3260,3513.450219
-3.1911,37.0777,3499.311815
-4.2517,35.7040,3488.239573
-3.3234,35.7158,3481.022826
-3.4703,37.4237,3477.802284
-3.8452,35.4495,3471.416378
-3.3825,36.9356,3449.983209
-4.2522,35.7057,3440.013876
-4.2047,35.5596,3437.171441
-7.6865,35.9815,3414.84185
-9.1696,32.7143,3409.271243
-3.4336,35.6338,3406.538909
-7.7296,31.0907,3406.000986
-3.8493,35.4708,3399.293907
-3.4699,37.4230,3384.669488
-4.2085,35.5619,3376.136885
-3.4046,35.6033,3364.817285
-3.3623,36.3610,3353.911415
-3.4081,35.5939,3349.910066
-9.4039,34.8067,3348.8
-3.4495,36.9145,3344.972301
-3.2490,37.1180,3333.321175
-7.6217,35.9770,3327.753113
-3.3193,35.7166,3325.374959
-9.1976,32.7329,3322.35
-4.4703,35.5469,3321.177494
-3.2353,37.0818,3314.996002
-3.2354,37.0872,3306.0203
-3.8502,35.4742,3261.291078
-3.2310,37.0458,3256.864486
-3.4053,35.6012,3246.589347
-10.5695,35.3919,3231.109232
-8.2918,35.0147,3228.663622
-3.2266,37.0422,3215.629696
-8.2740,35.0446,3206.421694
-3.8537,35.4693,3195.798417
-7.7297,31.0986,3188.418497
-3.3185,35.7193,3175.391385
-4.2503,35.7057,3172.13804
-9.1681,32.7142,3162.209851
-8.2922,35.0147,3153.356804
-8.2901,35.0132,3137.201137
-3.3835,36.9383,3134.203767
-7.6143,35.9532,3128.122151
-3.2460,37.1199,3125.44245
-9.1852,32.7286,3119.783333
-3.2219,37.1286,3119.590505
-3.3535,36.3583,3102.208694
-3.8449,35.4444,3100.194844
-3.8483,35.4738,3099.586085
-3.3629,36.3618,3070.605082
-3.7707,35.4842,3063.179665
-3.3616,36.3604,3062.668123
-3.1910,37.0788,3046.814993
-4.3986,35.5496,3044.487716
-4.4019,35.5498,3039.328174
-3.4577,36.8569,3032.421236
-3.2342,37.0820,3031.932215
-3.2360,37.0862,3010.125035
-3.8495,35.4706,3002.452854
-3.7706,35.4852,2989.695484
-3.4321,35.6330,2987.588697
-3.2272,37.0443,2986.692341
-8.2923,35.0162,2983.472368
-3.4398,35.6303,2981.515637
-3.7694,35.4851,2973.793446
-3.3571,36.3240,2972.608434
-8.2930,35.0158,2963.673974
-9.1714,32.7316,2959.198548
-3.7634,35.4860,2957.161184
-4.4713,35.5512,2935.610826
-3.7720,35.4839,2927.392273
 , ,2912.147999
-3.3181,35.7197,2911.115163
-3.4324,35.6359,2901.225665
-3.2365,37.0895,2895.804267
-3.1928,37.0750,2882.280954
-9.1848,32.7275,2864.110294
-3.1934,37.0752,2847.349127
-7.6132,35.9567,2839.750499
-4.3968,35.5487,2816.031929
-8.3400,35.0566,2793.794608
-3.3526,36.3569,2790.877038
-3.2494,37.1156,2781.14407
-3.2493,37.1188,2770.205822
-3.2354,37.0873,2770.085277
-10.5747,35.3826,2758.838384
-3.2362,37.0804,2758.132389
-3.3614,36.3273,2756.793657
-3.1917,37.0800,2754.343434
-10.5739,35.3840,2753.60581
-3.3540,36.3577,2748.186742
-4.2077,35.5600,2744.976633
-3.2505,37.1154,2743.233299
-3.2302,37.0432,2736.870618
-3.2354,37.0818,2730.117939
-3.2285,37.0425,2709.330914
-3.4476,36.9118,2708.522362
-3.4700,37.4239,2698.383578
-4.2922,35.6740,2691.608015
-4.3986,35.5500,2684.668774
-8.2892,35.0140,2684.053224
-3.3576,36.3242,2681.262227
-3.8535,35.4691,2672.088871
-7.6131,35.9565,2671.812767
-4.4697,35.5463,2664.523654
-3.8553,35.4760,2654.535113
-3.3545,36.3572,2649.594011
-3.8460,35.4533,2649.377362
-3.4048,35.6027,2643.910703
-3.2498,37.1154,2641.938074
-3.2357,37.0865,2604.368098
-3.8388,35.4533,2599.437364
-4.2920,35.6744,2597.827657
-7.6220,35.9769,2585.686177
-3.2231,37.1297,2582.239793
-3.8474,35.4739,2575.178277
-3.4351,35.6335,2568.398364
-8.2916,35.0154,2567.043535
-3.8462,35.4534,2538.518405
-8.3409,35.0620,2525.363064
-7.6864,35.9817,2523.861542
-3.2507,37.1161,2507.934819
-8.5263,32.0252,2499.558056
-7.6930,31.1166,2492.017548
-7.6924,35.9811,2484.76596
-5.1570,36.4192,2483.168644
-7.6865,35.9812,2480.548703
-9.1714,32.7319,2456.618097
-3.8472,35.4733,2452.233869
-3.3799,36.3205,2442.055247
-3.4709,37.4235,2419.041516
-3.4480,36.9131,2415.102597
-3.8479,35.4739,2408.072216
-7.6920,35.9810,2405.252136
-3.4053,35.6015,2395.95156
-7.6922,35.9852,2388.087141
-8.3411,35.0626,2387.190611
-7.6151,35.9539,2380.709967
-3.8494,35.4737,2378.493825
-3.8395,35.4441,2377.383055
-4.4532,35.5070,2376.354663
-3.7636,35.4856,2373.053523
-8.8526,32.9640,2360.632923
-7.4919,35.7565,2348.149413
-9.1733,32.7061,2327.670706
-3.3832,36.9377,2326.906105
-4.4533,35.5071,2322.743352
-3.3609,36.3274,2291.574071
-3.7721,35.4808,2287.36618
-8.2926,35.0153,2273.550652
-7.6125,35.9802,2266.110308
-3.3505,36.3554,2243.205959
-3.3617,36.3272,2241.205032
-3.4621,36.8571,2241.168777
-7.6148,35.9539,2239.662689
-3.2285,37.0406,2239.13487
-3.4332,35.6346,2234.558908
-7.4917,35.7562,2212.154258
-3.4695,37.4220,2209.567797
-3.3797,36.3209,2207.467301
-4.3966,35.5494,2205.338402
-4.3966,35.5489,2201.507368
-3.3795,36.3198,2187.586347
-3.4564,36.8498,2185.858433
-7.6117,35.9561,2178.631311
-3.4467,36.9136,2178.404561
-3.4081,35.5941,2176.722757
-3.3524,36.3555,2173.074097
-3.8453,35.4495,2172.692463
-3.8492,35.4711,2169.603679
-10.4469,36.1740,2150.568687
-8.2921,35.0153,2147.932662
-3.3579,36.3241,2145.237608
-3.3524,36.3580,2142.129973
-8.5568,32.0506,2140.8768
-7.6938,31.1141,2131.645024
-3.3811,36.9351,2124.696089
-8.3405,35.0563,2095.330396
-3.2324,37.0827,2084.738184
2.6,1.5,1382.879347
-4.2029,35.5630,2067.340651
-7.6161,35.9589,2067.105771
-3.2222,37.1292,2064.330648
-8.3448,35.0611,2055.536827
-10.5736,35.3848,2054.311111
-5.1567,36.4198,2050.729885
-10.5440,35.3566,2049.066667
-3.7723,35.4820,2048.710292
-3.4100,35.5988,2037.976813
-3.3638,36.3204,2029.930403
-3.3523,36.3564,2028.109606
-3.8456,35.4492,2027.758111
-7.4628,35.7747,2026.093206
-3.8472,35.4726,2025.600768
-7.7233,31.0925,2022.716667
-3.3496,36.3546,2021.437414
-3.4431,37.4028,2011.321533
-3.7708,35.4834,2009.337407
-9.1724,32.7321,2008.588342
-8.2948,35.0183,2007.368812
-3.4330,35.6329,2006.916897
-3.8503,35.4699,2004.027818
-8.3411,35.0628,1984.120382
-3.4465,37.4053,1964.286015
-3.3632,36.3211,1962.640943
-3.3495,36.3543,1962.305871
-3.3217,35.7151,1947.981892
-3.2367,37.0894,1947.680577
-3.2222,37.1286,1947.082994
-4.4681,35.5514,1941.882488
-4.4741,35.5471,1941.090074
-3.4361,35.6336,1938.202618
-3.3826,36.3191,1919.746813
-3.2324,37.0829,1917.617447
-3.4337,35.6330,1896.356502
-3.2362,37.0895,1891.315072
-3.7696,35.4850,1887.524468
-3.7720,35.4828,1862.506628
-8.3445,35.0579,1861.453628
-3.1910,37.0789,1861.227494
-3.3637,36.3207,1849.109217
-4.4710,35.5512,1842.734761
-3.4582,36.8570,1839.930453
-9.2976,34.6382,1828.815823
-3.8501,35.4698,1825.601643
-4.2046,35.5591,1817.80112
-3.4316,35.6351,1807.519004
-7.6920,35.9871,1772.573771
-9.3938,34.7699,1770.825146
-8.2950,35.0193,1768.371296
-7.7649,31.1452,1750.080952
-3.4742,37.4265,1743.081805
-3.4586,36.8573,1725.615748
-3.7696,35.4868,1720.69374
-3.4477,36.9136,1709.116458
-7.6142,35.9532,1706.697996
-10.5439,35.3560,1678.55625
-7.6162,35.9587,1677.733197
-3.3831,36.3209,1665.486125
-7.7676,31.1388,1658.427273
-3.4478,36.9126,1657.654776
-8.3396,35.0571,1656.556319
-9.1737,32.7063,1633.882789
-3.3800,36.3194,1632.762906
-4.4702,35.5511,1628.55636
-10.5713,35.3823,1601.416098
