Latitude,Longitude,Grain yield (kg/ha@12.5%)
-3.2383,37.1393,463.9457716
-9.1731,32.7074,462.1493456
-3.3831,36.9367,458.6073046
-10.4164,36.1455,458.315625
-7.4666,35.7797,453.3880542
-10.4122,36.1448,446.4
-7.6933,31.1165,425.25
-10.5686,35.3970,424.6666667
-9.2643,34.6018,418.6285714
-7.7646,31.1454,416.25
-10.4489,36.1789,415.9166667
-7.6950,31.1104,414.8
-9.3921,34.7697,413.6
-3.7744,37.6162,412.7409399
-3.7451,37.6009,412.3701652
-9.3934,34.7691,411.7708333
-10.5671,35.3960,410.9875
 , ,408.6573706
-7.4593,35.7755,402.061645
-9.1729,32.7077,400.6545273
-9.1807,32.7066,389.2
-4.3973,35.5482,386.627119
-7.7230,31.0925,384.25
-9.1762,32.7005,374
-8.2963,35.0208,373.7504855
-10.5720,35.3917,373.5277778
-9.3885,34.7713,372.9428571
-3.4710,37.4187,372.5151779
-10.4477,36.1783,371.9757576
-7.7227,31.0926,369.6
-9.4034,34.8066,368.88
-10.4488,36.1799,365.037037
-9.1720,32.7091,364
-10.4127,36.1450,357.5277778
-9.4065,34.8084,349.1055556
-3.2373,37.1426,348.553621
-7.7258,31.0979,339.5
-10.4473,36.1738,339.0545455
-3.2398,37.1411,334.8215166
-10.4131,36.1452,331.2592593
-8.5694,32.0204,330.9774436
-3.4035,35.6015,324.4369082
-7.6068,35.9805,319.5050034
-7.6071,35.9815,317.9035536
-9.3946,34.7720,317.3333333
-8.5756,32.0284,311.4666667
 , ,310.8285714
-3.4034,35.6020,310.6301837
-8.8523,32.9639,306.8
-7.5388,35.7636,304.4155844
-7.6073,35.9811,300.2116796
-9.3648,34.7806,295.9090909
-8.3400,35.0604,294.9103597
-7.5390,35.7640,288.6221198
-8.5759,32.0289,280.3333333
-8.5293,32.0245,278.8
-3.4033,35.6024,277.7933037
-10.4091,36.1427,277.29
-7.6923,35.9853,273.9013866
-9.3923,34.7697,264.20625
-9.1721,32.7089,257.4
-4.3960,35.5489,254.3759919
-8.5754,32.0274,250.517094
-10.5670,35.3960,249.9
-8.3452,35.0607,248.316514
-8.2935,35.0175,245.8444709
-9.2675,34.5992,244.8875
-3.4708,37.4256,243.4411849
-8.5548,32.0534,238.9583333
-7.7669,31.1387,238.8272727
-8.5560,32.0525,236.6
-7.7223,31.0925,231.1666667
-3.3801,36.3200,229.8791705
-8.5292,32.0248,229.6296296
-9.3646,34.7806,229.2424242
-9.1523,33.3199,228.9
-9.2930,34.6380,227.15
-9.4055,34.8081,222.121875
-10.4596,36.1087,204.75
-10.4470,36.1735,203.4285714
-7.7222,31.0925,199.5636364
-9.3952,34.7715,198.1714286
-8.2728,35.0461,194.7488667
-5.1561,36.4189,194.0804335
-9.2930,34.6378,191.7866667
-9.4054,34.8081,181.675
-7.6066,35.9791,178.4155844
-3.2385,37.1419,177.3723546
-10.4152,36.1471,174.6875
-7.7657,31.1389,174.5090361
